notification.year,notification.month,notification.hr,exam.result,testperhr
2009,1,ARAGUAIA,falciparum,2
2009,1,ARAGUAIA,negative,259
2009,1,ARAGUAIA,vivax,8
2009,1,BAIXO AMAZONAS,F+FG,9
2009,1,BAIXO AMAZONAS,F+V,1
2009,1,BAIXO AMAZONAS,FG,2
2009,1,BAIXO AMAZONAS,falciparum,50
2009,1,BAIXO AMAZONAS,negative,3208
2009,1,BAIXO AMAZONAS,vivax,488
2009,1,CARAJAS,FG,1
2009,1,CARAJAS,V+FG,1
2009,1,CARAJAS,falciparum,14
2009,1,CARAJAS,negative,1377
2009,1,CARAJAS,vivax,224
2009,1,LAGO DE TUCURUI,F+FG,8
2009,1,LAGO DE TUCURUI,F+V,6
2009,1,LAGO DE TUCURUI,FG,3
2009,1,LAGO DE TUCURUI,V+FG,3
2009,1,LAGO DE TUCURUI,falciparum,121
2009,1,LAGO DE TUCURUI,negative,3615
2009,1,LAGO DE TUCURUI,vivax,1438
2009,1,MARAJO I,F+FG,6
2009,1,MARAJO I,F+M,1
2009,1,MARAJO I,F+V,2
2009,1,MARAJO I,V+FG,1
2009,1,MARAJO I,falciparum,65
2009,1,MARAJO I,negative,935
2009,1,MARAJO I,vivax,241
2009,1,MARAJO II,F+FG,27
2009,1,MARAJO II,F+V,20
2009,1,MARAJO II,FG,5
2009,1,MARAJO II,V+FG,6
2009,1,MARAJO II,falciparum,420
2009,1,MARAJO II,negative,6280
2009,1,MARAJO II,vivax,1173
2009,1,METROPOLITANA I,F+FG,6
2009,1,METROPOLITANA I,F+V,3
2009,1,METROPOLITANA I,FG,3
2009,1,METROPOLITANA I,falciparum,3
2009,1,METROPOLITANA I,negative,1626
2009,1,METROPOLITANA I,vivax,67
2009,1,METROPOLITANA II,F+FG,1
2009,1,METROPOLITANA II,F+V,2
2009,1,METROPOLITANA II,falciparum,4
2009,1,METROPOLITANA II,negative,586
2009,1,METROPOLITANA II,vivax,87
2009,1,METROPOLITANA III,F+FG,10
2009,1,METROPOLITANA III,F+V,4
2009,1,METROPOLITANA III,FG,2
2009,1,METROPOLITANA III,V+FG,11
2009,1,METROPOLITANA III,falciparum,121
2009,1,METROPOLITANA III,negative,2223
2009,1,METROPOLITANA III,vivax,920
2009,1,RIO CAETES,F+FG,2
2009,1,RIO CAETES,V+FG,1
2009,1,RIO CAETES,falciparum,7
2009,1,RIO CAETES,negative,1467
2009,1,RIO CAETES,vivax,284
2009,1,TAPAJOS,F+FG,34
2009,1,TAPAJOS,F+V,21
2009,1,TAPAJOS,FG,16
2009,1,TAPAJOS,V+FG,7
2009,1,TAPAJOS,falciparum,275
2009,1,TAPAJOS,malariae,1
2009,1,TAPAJOS,negative,2807
2009,1,TAPAJOS,vivax,683
2009,1,TOCANTINS,F+V,1
2009,1,TOCANTINS,falciparum,1
2009,1,TOCANTINS,negative,340
2009,1,TOCANTINS,vivax,63
2009,1,XINGU,F+FG,10
2009,1,XINGU,F+V,7
2009,1,XINGU,FG,6
2009,1,XINGU,falciparum,63
2009,1,XINGU,malariae,1
2009,1,XINGU,negative,4327
2009,1,XINGU,vivax,696
2009,2,ARAGUAIA,negative,366
2009,2,ARAGUAIA,vivax,11
2009,2,BAIXO AMAZONAS,F+FG,23
2009,2,BAIXO AMAZONAS,F+V,1
2009,2,BAIXO AMAZONAS,FG,16
2009,2,BAIXO AMAZONAS,V+FG,5
2009,2,BAIXO AMAZONAS,falciparum,47
2009,2,BAIXO AMAZONAS,negative,2863
2009,2,BAIXO AMAZONAS,vivax,342
2009,2,CARAJAS,F+FG,2
2009,2,CARAJAS,F+V,3
2009,2,CARAJAS,FG,1
2009,2,CARAJAS,falciparum,19
2009,2,CARAJAS,negative,1257
2009,2,CARAJAS,vivax,148
2009,2,LAGO DE TUCURUI,F+FG,8
2009,2,LAGO DE TUCURUI,F+V,8
2009,2,LAGO DE TUCURUI,FG,5
2009,2,LAGO DE TUCURUI,V+FG,2
2009,2,LAGO DE TUCURUI,falciparum,92
2009,2,LAGO DE TUCURUI,negative,3624
2009,2,LAGO DE TUCURUI,vivax,1082
2009,2,MARAJO I,F+FG,9
2009,2,MARAJO I,F+V,1
2009,2,MARAJO I,FG,1
2009,2,MARAJO I,V+FG,1
2009,2,MARAJO I,falciparum,72
2009,2,MARAJO I,negative,1070
2009,2,MARAJO I,vivax,390
2009,2,MARAJO II,F+FG,51
2009,2,MARAJO II,F+M,1
2009,2,MARAJO II,F+V,42
2009,2,MARAJO II,FG,5
2009,2,MARAJO II,falciparum,396
2009,2,MARAJO II,negative,7092
2009,2,MARAJO II,vivax,1400
2009,2,METROPOLITANA I,F+FG,3
2009,2,METROPOLITANA I,F+V,1
2009,2,METROPOLITANA I,FG,3
2009,2,METROPOLITANA I,falciparum,9
2009,2,METROPOLITANA I,negative,1775
2009,2,METROPOLITANA I,vivax,47
2009,2,METROPOLITANA II,F+FG,1
2009,2,METROPOLITANA II,F+V,1
2009,2,METROPOLITANA II,falciparum,3
2009,2,METROPOLITANA II,negative,513
2009,2,METROPOLITANA II,vivax,69
2009,2,METROPOLITANA III,F+FG,9
2009,2,METROPOLITANA III,F+V,4
2009,2,METROPOLITANA III,FG,5
2009,2,METROPOLITANA III,V+FG,3
2009,2,METROPOLITANA III,falciparum,104
2009,2,METROPOLITANA III,negative,2583
2009,2,METROPOLITANA III,vivax,841
2009,2,RIO CAETES,FG,1
2009,2,RIO CAETES,V+FG,1
2009,2,RIO CAETES,falciparum,4
2009,2,RIO CAETES,negative,1891
2009,2,RIO CAETES,vivax,281
